Data from Shelyag's thesis, appendix

Element Abundance 1st potential 2nd potential Relative mass
4299.252 ?Q? 1 1 14.5 0 0 0.387E-02
4299.496 ?R? 2 2 0.5 1 1 0.344E-02
4299.507 ?R? 2 2 0.5 1 1 0.344E-02
4299.559 ?R? 1 1 4.5 2 2 0.281E-02
4299.657 ?Q? 1 1 23.5 1 1 0.344E-02
4299.686 ?R? 1 1 4.5 2 2 0.281E-02
4299.816 ?Q? 2 2 22.5 1 1 0.344E-02
4299.845 ?Q? 2 2 17.5 1 1 0.344E-02
4299.860 ?Q? 1 1 24.5 1 1 0.344E-02
4299.860 ?Q? 1 1 18.5 1 1 0.344E-02
4299.899 ?Q? 1 1 22.5 1 1 0.344E-02
4299.982 ?Q? 2 2 23.5 1 1 0.344E-02
4300.003 ?Q? 2 2 21.5 1 1 0.344E-02
4300.075 ?Q? 1 1 21.5 1 1 0.344E-02
4300.091 ?Q? 1 1 25.5 1 1 0.344E-02
4300.269 ?Q? 2 2 20.5 1 1 0.344E-02
4300.302 ?Q? 2 2 24.5 1 1 0.344E-02
4300.317 ?R? 2 2 0.5 0 0 0.387E-02
4300.324 ?R? 2 2 0.5 0 0 0.387E-02
4300.570 ?Q? 2 2 13.5 0 0 0.387E-02
4300.587 ?Q? 1 1 14.5 0 0 0.387E-02
4300.633 ?Q? 1 1 20.5 1 1 0.344E-02
4300.696 ?Q? 2 2 19.5 1 1 0.344E-02
4300.772 ?Q? 2 2 16.5 1 1 0.344E-02
4300.813 ?Q? 1 1 17.5 1 1 0.344E-02
4300.887 ?Q? 1 1 26.5 1 1 0.344E-02
4300.996 ?Q? 2 2 12.5 0 0 0.387E-02
4301.072 ?Q? 2 2 25.5 1 1 0.344E-02
4301.127 ?Q? 1 1 13.5 0 0 0.387E-02
4301.172 ?Q? 1 1 19.5 1 1 0.344E-02
4301.296 ?Q? 2 2 18.5 1 1 0.344E-02
4301.718 ?Q? 2 2 15.5 1 1 0.344E-02
4301.758 ?Q? 1 1 16.5 1 1 0.344E-02
4301.805 ?Q? 1 1 27.5 1 1 0.344E-02
4301.853 ?Q? 1 1 18.5 1 1 0.344E-02
4301.897 ?Q? 2 2 17.5 1 1 0.344E-02
4302.053 ?Q? 2 2 26.5 1 1 0.344E-02
4302.266 ?Q? 2 2 12.5 0 0 0.387E-02
4302.297 ?Q? 1 1 13.5 0 0 0.387E-02
4302.638 ?Q? 1 1 17.5 1 1 0.344E-02
4302.647 ?Q? 2 2 16.5 1 1 0.344E-02
4302.714 ?Q? 2 2 14.5 1 1 0.344E-02
4302.745 ?Q? 2 2 11.5 0 0 0.387E-02
4302.786 ?Q? 2 1 1.5 1 1 0.344E-02
4302.795 ?Q? 2 1 1.5 1 1 0.344E-02
4302.803 ?Q? 1 1 15.5 1 1 0.344E-02
4302.908 ?Q? 1 1 12.5 0 0 0.387E-02
4303.103 ?R? 1 1 1.5 1 1 0.344E-02
4303.112 ?R? 1 1 1.5 1 1 0.344E-02
4303.420 ?Q? 1 1 16.5 1 1 0.344E-02
4303.420 ?Q? 2 2 15.5 1 1 0.344E-02
4303.457 ?Q? 1 1 28.5 1 1 0.344E-02
4303.642 ?Q? 2 2 27.5 1 1 0.344E-02
4303.714 ?Q? 2 2 13.5 1 1 0.344E-02
4303.718 ?R? 2 2 2.5 2 2 0.281E-02
4303.809 ?R? 2 2 2.5 2 2 0.281E-02
4303.812 ?Q? 1 1 14.5 1 1 0.344E-02
4303.838 ?Q? 2 2 11.5 0 0 0.387E-02
4303.925 ?R? 1 1 1.5 0 0 0.387E-02
4303.929 ?Q? 1 1 12.5 0 0 0.387E-02
4303.933 ?R? 1 1 1.5 0 0 0.387E-02
4304.263 ?Q? 2 2 14.5 1 1 0.344E-02
4304.276 ?Q? 1 1 15.5 1 1 0.344E-02
4304.383 ?Q? 2 2 10.5 0 0 0.387E-02
4304.567 ?R? 1 1 3.5 2 2 0.281E-02
4304.578 ?Q? 1 1 11.5 0 0 0.387E-02
4304.602 ?R? 1 1 3.5 2 2 0.281E-02
4304.722 ?Q? 2 2 12.5 1 1 0.344E-02
4304.852 ?Q? 1 1 13.5 1 1 0.344E-02
4304.911 ?Q? 1 1 29.5 1 1 0.344E-02
4305.093 ?Q? 1 1 14.5 1 1 0.344E-02
4305.095 ?Q? 2 2 13.5 1 1 0.344E-02
4305.314 ?Q? 2 2 10.5 0 0 0.387E-02
4305.432 ?Q? 1 1 11.5 0 0 0.387E-02
4305.547 ?Q? 2 2 28.5 1 1 0.344E-02
4305.703 ?Q? 2 2 11.5 1 1 0.344E-02
4305.853 ?Q? 1 1 12.5 1 1 0.344E-02
4305.911 ?Q? 2 2 9.5 0 0 0.387E-02
4305.955 ?Q? 2 2 12.5 1 1 0.344E-02
4305.968 ?Q? 1 1 13.5 1 1 0.344E-02
4306.139 ?Q? 1 1 10.5 0 0 0.387E-02
4306.643 ?Q? 2 2 10.5 1 1 0.344E-02
4306.686 ?Q? 2 2 9.5 0 0 0.387E-02
4306.747 ?Q? 2 2 11.5 1 1 0.344E-02
4306.842 ?Q? 1 1 11.5 1 1 0.344E-02
4306.844 ?Q? 1 1 12.5 1 1 0.344E-02
4306.851 ?Q? 1 1 10.5 0 0 0.387E-02
4307.308 ?Q? 2 2 8.5 0 0 0.387E-02
4307.527 ?Q? 2 2 9.5 1 1 0.344E-02
4307.543 ?Q? 2 2 10.5 1 1 0.344E-02
4307.579 ?Q? 1 1 9.5 0 0 0.387E-02
4307.675 ?Q? 1 1 11.5 1 1 0.344E-02
4307.744 ?Q? 1 1 10.5 1 1 0.344E-02
4307.952 ?Q? 2 2 8.5 0 0 0.387E-02
4308.152 ?Q? 1 1 30.5 1 1 0.344E-02
4308.175 ?Q? 1 1 9.5 0 0 0.387E-02
4308.275 ?Q? 2 2 9.5 1 1 0.344E-02
4308.358 ?R? 2 2 1.5 2 2 0.281E-02
4308.360 ?Q? 2 2 8.5 1 1 0.344E-02
4308.392 ?Q? 2 2 29.5 1 1 0.344E-02
4308.433 ?Q? 1 1 10.5 1 1 0.344E-02
4308.436 ?R? 2 2 1.5 2 2 0.281E-02
4308.557 ?Q? 2 2 7.5 0 0 0.387E-02
4308.631 ?Q? 1 1 9.5 1 1 0.344E-02
4308.901 ?Q? 1 1 8.5 0 0 0.387E-02
4308.986 ?Q? 2 2 8.5 1 1 0.344E-02
4309.094 ?Q? 2 2 7.5 0 0 0.387E-02
4309.123 ?Q? 2 2 7.5 1 1 0.344E-02
4309.194 ?Q? 1 1 9.5 1 1 0.344E-02
4309.378 ?Q? 1 1 8.5 0 0 0.387E-02
4309.452 ?Q? 1 1 8.5 1 1 0.344E-02
4309.621 ?R? 1 1 2.5 2 2 0.281E-02
4309.634 ?R? 1 1 2.5 2 2 0.281E-02
4309.638 ?Q? 2 2 7.5 1 1 0.344E-02
4309.701 ?Q? 2 2 6.5 0 0 0.387E-02
4309.829 ?Q? 2 2 6.5 1 1 0.344E-02
4309.913 ?Q? 1 1 8.5 1 1 0.344E-02
4310.086 ?Q? 1 1 7.5 0 0 0.387E-02
4310.108 ?Q? 2 2 6.5 0 0 0.387E-02
4310.210 ?Q? 1 1 7.5 1 1 0.344E-02
4310.216 ?Q? 2 2 6.5 1 1 0.344E-02
4310.441 ?Q? 2 2 5.5 1 1 0.344E-02
4310.456 ?Q? 1 1 7.5 0 0 0.387E-02
4310.554 ?Q? 1 1 7.5 1 1 0.344E-02
4310.759 ?R? 1 2 5.5 0 0 0.387E-02
4310.80 ?R? 1 2 5.5 1 1 0.344E-02
4310.679 ?Q? 2 2 5.5 0 0 0.387E-02
4310.729 ?Q? 2 2 5.5 1 1 0.344E-02
4310.896 ?Q? 1 1 6.5 1 1 0.344E-02
4310.918 ?Q? 2 2 4.5 1 1 0.344E-02
4310.991 ?Q? 2 2 5.5 0 0 0.387E-02
4311.047 ?R? 1 2 4.5 1 1 0.344E-02
4311.069 ?P? 2 1 6.5 0 0 0.387E-02
4311.071 ?R? 1 2 5.5 0 0 0.387E-02
4311.138 ?Q? 2 2 4.5 1 1 0.344E-02
4311.149 ?Q? 1 1 6.5 0 0 0.387E-02
4311.149 ?R? 2 2 0.5 2 2 0.281E-02
4311.155 ?Q? 1 1 6.5 1 1 0.344E-02
4311.160 ?R? 2 2 0.5 2 2 0.281E-02
4311.266 ?R? 1 2 4.5 1 1 0.344E-02
4311.326 ?Q? 2 2 3.5 1 1 0.344E-02
4311.422 ?Q? 1 1 6.5 0 0 0.387E-02
4311.471 ?Q? 2 2 3.5 1 1 0.344E-02
4311.478 ?Q? 1 1 31.5 1 1 0.344E-02
4311.486 ?R? 1 2 3.5 1 1 0.344E-02
4311.500 ?Q? 2 2 4.5 0 0 0.387E-02
4311.508 ?Q? 1 1 5.5 1 1 0.344E-02
4311.560 ?Q? 2 2 2.5 1 1 0.344E-02
4311.575 ?Q? 2 2 1.5 1 1 0.344E-02
4311.588 ?Q? 2 2 1.5 1 1 0.344E-02
4311.612 ?R? 1 2 4.5 0 0 0.387E-02
4311.631 ?R? 1 2 3.5 1 1 0.344E-02
4311.685 ?Q? 2 2 2.5 1 1 0.344E-02
4311.694 ?Q? 1 1 5.5 1 1 0.344E-02
4311.727 ?Q? 2 2 4.5 0 0 0.387E-02
4311.768 ?R? 1 2 2.5 1 1 0.344E-02
4311.839 ?R? 1 2 4.5 0 0 0.387E-02
4311.893 ?R? 1 2 2.5 1 1 0.344E-02
4311.893 ?R? 1 2 1.5 1 1 0.344E-02
4311.893 ?P? 2 1 4.5 1 1 0.344E-02
4311.906 ?R? 1 2 1.5 1 1 0.344E-02
4311.978 ?P? 2 1 5.5 0 0 0.387E-02
4312.053 ?Q? 1 1 4.5 1 1 0.344E-02
4312.090 ?Q? 1 1 5.5 0 0 0.387E-02
4312.157 ?Q? 2 2 3.5 0 0 0.387E-02
4312.177 ?Q? 1 1 4.5 1 1 0.344E-02
4312.278 ?Q? 1 1 5.5 0 0 0.387E-02
4312.296 ?Q? 2 2 3.5 0 0 0.387E-02
4312.311 ?R? 1 2 3.5 0 0 0.387E-02
4312.328 ?P? 2 1 3.5 1 1 0.344E-02
4312.380 ?P? 2 1 3.5 1 1 0.344E-02
4312.451 ?R? 1 2 3.5 0 0 0.387E-02
4312.536 ?Q? 1 1 3.5 1 1 0.344E-02
4312.588 ?Q? 1 1 3.5 1 1 0.344E-02
4312.598 ?Q? 2 2 2.5 0 0 0.387E-02
4312.680 ?Q? 2 2 2.5 0 0 0.387E-02
4312.717 ?Q? 2 2 1.5 0 0 0.387E-02
4312.767 ?Q? 2 2 1.5 0 0 0.387E-02
4312.827 ?R? 1 2 2.5 0 0 0.387E-02
4312.862 ?P? 2 1 4.5 0 0 0.387E-02
4312.895 ?Q? 1 1 4.5 0 0 0.387E-02
4312.909 ?R? 1 2 2.5 0 0 0.387E-02
4313.011 ?Q? 1 1 2.5 1 1 0.344E-02
4313.013 ?Q? 1 1 2.5 1 1 0.344E-02
4313.016 ?Q? 1 1 4.5 0 0 0.387E-02
4313.037 ?R? 1 2 1.5 0 0 0.387E-02
4313.087 ?R? 1 2 1.5 0 0 0.387E-02
4313.361 ?P? 2 1 3.5 0 0 0.387E-02
4313.420 ?P? 2 1 3.5 0 0 0.387E-02
4313.590 ?Q? 1 1 3.5 0 0 0.387E-02
4313.649 ?Q? 1 1 3.5 0 0 0.387E-02
4313.876 ?P? 2 1 2.5 0 0 0.387E-02
4313.037 ?R? 1 2 1.5 0 0 0.387E-02
4313.087 ?R? 1 2 1.5 0 0 0.387E-02
4313.361 ?P? 2 1 3.5 0 0 0.387E-02
4313.420 ?P? 2 1 3.5 0 0 0.387E-02
4313.876 ?P? 2 1 2.5 0 0 0.387E-02
4313.899 ?P? 2 1 2.5 0 0 0.387E-02
4314.196 ?Q? 1 1 2.5 0 0 0.387E-02
4314.219 ?Q? 1 1 2.5 0 0 0.387E-02
4314.804 ?R? 1 1 1.5 2 2 0.281E-02
4314.820 ?R? 1 1 1.5 2 2 0.281E-02


4295.731 CrI -0.720 2.708102 (4P)4s a5P a3P)sp v5P
4295.751 TiI -0.450 0.812998 (4F)4s a5F (4F)4p x5D
4295.881 NiI -0.480 3.841263 (3F)sp z3G s2F)5s g3F
4296.098 VI 0.410 2.13045 (3G)4s a4G (3G)4p w4H
4296.572 FeI -2.810 2.704533 (3P)4s b4P (5D)4p z4F
4297.031 CrI -1.030 2.708975 (4P)4s a5P a3P)sp v5P
4297.496 FeI -3.107 4.371645 (4F)4p z5G s4D)4d g5G
4297.675 VI 0.290 2.122377 (3G)4s a4G (3G)4p w4H
4297.744 CrI 0.250 3.75 (2I)4s a3I (2I)4p z3K
4297.784 NdII -0.780 0.380255 (3P)4s b4P (5D)4p z4D
4298.028 VI 0.240 2.114688 (3G)4s a4G (3G)4p w4H
4298.037 FeI -1.370 3.047074 (2G)4s a1G (3F)sp x3G
4298.201 FeI -2.302 3.111171 (2P)4s c3P (3G)sp v5F
4298.507 NiI -1.388 3.841263 (3F)sp z3G s2F)5s g3F
4298.664 TiI -0.050 0.818196 (4F)4s a5F (4F)4p x5D
4298.988 CaI -0.412 1.8859 4s4p 3P 4p2 3P
4299.228 TiI -0.006 1.7490 (4P)4s a5P (4P)4p y5S
4299.234 FeI -0.430 2.4256 (5D)sp z7D s6D)5s e7D
4299.241 FeI -1.750 3.2673 (2H)4s b3H (2G)4p y3H
4299.628 FeI -2.113 3.0178 s2 b3G (3G)sp w5G
4299.633 TiI -0.770 0.8259 (4F)4s a5F (3F)sp w3D
4299.707 CrI -0.930 2.8997 (6S)4p z7P 4s5s f7D
4300.049 TiII -0.770 1.1802 d3 a4P (3F)4p z4D
4300.205 FeI -1.810 3.8819 (5D)sp z3F (4F)4d e3H
4300.467 TiI -0.704 2.1604 2D2)4s a3D (4P)4p r3D
4300.498 CrI -0.430 3.4351 s2 b3G (3G)sp w3F
4300.556 TiI 0.170 0.8259 (4F)4s a5F (4F)4p x5D
4300.825 FeI -1.190 3.9844 (5D)sp z3F (4F)4d f3F
4301.081 TiI 0.260 0.8361 (4F)4s a5F (4F)4p x5D
4301.177 CrI -0.190 3.4491 s2 b3G (3G)sp w3F
4301.914 TiII -1.160 1.1610 d3 a4P (3F)4p z4D
4302.087 NiI -2.321 3.480234 (3F)sp z5G s4F)5s f3F
4302.185 FeI -1.740 3.0471 (2G)4s a1G (3F)sp x3G
4302.528 CaI 0.275 1.8991 4s4p 3P 4p2 3P
4302.692 FeI -4.446 2.4536 s2 a3H (3H)sp y5G
4303.049 FeI -3.683 3.8838 (5D)sp z3D (4F)4d e3H
4303.176 FeII -2.490 2.7045 (3P)4s b4P (5D)4p z4D
4303.571 NdII 0.140 0.000 (3P)4s b4P (5D)4p z4D
4304.540 FeI -2.010 2.9490 s2 b3G (3H)sp z3H
4304.641 FeI -3.898 4.0761 d8 c3F (3G)sp 1F
4304.869 FeI -2.083 3.3016 (2H)4s b3H (2G)4p v3G
4305.134 FeI -3.310 2.7277 (2G)4s a3G (3P)sp 3D
4305.205 FeI -2.070 3.5468 (2D)4s a1D (2H)4p u3G
4305.451 FeI -1.300 3.0175 (2P)4s c3P (4P)4p y3S
4305.528 FeI -1.975 4.3128 (4F)4p z5G s4D)4d g5G
4305.528 FeI -1.975 4.312761 (4F)4p z5G s4D)4d g5G
4305.714 ScII -1.220 0.595520 3d2 3F 3d4p 3D
4305.760 TiI -1.071 2.236482 (2H)4s a3H s4F)5p u3G
4305.910 TiI 0.350 0.8485 (4F)4s a5F (4F)4p x5D
4306.057 FeI -2.997 3.3967 (5D)sp z5F s6D)4d e7P
4306.326 TiI -1.392 3.186603 (3P)sp y5D d2 4p2 h5D
4306.580 FeI -2.218 3.4304 (5D)sp z5F s6D)4d f5D
4306.692 FeI -2.982 4.4156 (4F)4p z5G s4D)4d g5G
4307.176 VI -1.732 0.000 d3s2 a4F (4F)sp z4F
4307.270 NiI -1.113 4.153857 (3F)sp y3D s4F)4d f3P
4307.619 FeI -4.422 3.2517 (2D)4s a3D (2G)4p w3F
4307.744 CaI -0.256 1.8859 4s4p 3P 4p2 3P
4307.863 TiI -1.290 1.165 d3 a4P (3F)4p z4D
4307.902 FeI -0.070 1.5575 (4F)4s a3F (4F)4p z3G
4308.464 TiI -1.078 1.0666 s2 a3P (3P)sp y3P
4308.506 FeI -3.317 2.4536 s2 a3H (3H)sp z5I
4308.529 FeI -4.120 2.2229 (4P)4s a5P (5D)sp x5F
4309.031 FeI -1.100 3.6346 s2 a1I (2H)4p y3I
4309.369 FeI -1.180 2.9490 s2 b3G (3H)sp z3H
4309.455 FeI -1.579 3.111171 (2P)4s c3P a3P)sp v5P
4309.631 YII -0.750 0.179765 d5s a3D s5p z3P
4309.672 FeI -4.967 2.9982 (5D)sp z7P (4F)5s e5F
4309.790 FeI -2.023 4.5847 (2F)4s d3F (3F)sp r3G
4309.800 VI -1.580 0.040107 d3s2 a4F (4F)sp z4F
4310.066 FeI -3.280 3.4304 (5D)sp z5F s6D)4d e7P
4310.371 FeI -1.500 3.9289 (5D)sp z3D (4F)4d e3P
4310.542 FeI -2.686 3.6355 s2 b3D (2P)4p u3D
4310.656 CrI -1.507 2.967626 s2 a3H (3H)sp x5G
4311.646 TiI -0.925 2.153700 2D2)4s a3D (4P)4p r3D
4312.369 VII -4.632 1.6728 d4 b3F (4F)4p z5F
4312.473 CrI -1.370 3.112999 s2 a3F (3H)sp y3H
4312.551 MnI -1.077 2.941044 (5D)4s a4D (5D)4p y4P
4312.864 TiII -1.160 1.180169 d3 a4P (3F)4p z4D
4313.043 FeI -3.258 2.758764 (2G)4s a3G (3H)sp y3G
4313.889 VI -1.313 1.853611 (3H)4s a4H (3H)4p x2H
4313.527 NiI -1.525 4.164930 (3F)sp z1G s4F)4d i3F
4314.083 ScII -0.100 0.618449 3d2 3F 3d4p 3D
4314.310 FeII -3.477 2.675963 (3H)4s a4H (5D)4p z4F
4314.364 NdII 0.150 1.528995 (3P)4s b4P (5D)4p z4D
4314.506 NdII -0.920 0.000 (3P)4s b4P (5D)4p z4D
4314.730 TiI -1.633 0.818196 (4F)4s a5F (3F)sp w3D
4314.804 TiI -0.416 0.836052 (4F)4s a5F (3F)sp w3D
4314.975 TiI -1.130 1.16102 d3 a4P (3F)4p z4D
4314.979 FeII -3.103 4.732076 (1D)4s c2D (3P)4p y4P
